healthtime,businessunit,reported,avgconn,expected,lag
2012-02-02 08:15:00,region-1,1505,5.4418604651162791,0,9
2012-02-02 08:30:00,region-1,1503,5.4278110445775116,0,9
2012-02-02 08:45:00,region-1,1500,5.4713333333333333,0,9
2012-02-02 09:00:00,region-1,1501,5.5436375749500333,0,9
2012-02-02 09:15:00,region-1,1500,5.4806666666666667,0,9
2012-02-02 09:30:00,region-1,1501,5.4470353097934710,0,9
2012-02-02 09:45:00,region-1,1499,5.4543028685790527,0,9
2012-02-02 10:00:00,region-1,1498,5.3938584779706275,0,9
2012-02-02 10:15:00,region-1,1495,5.4615384615384615,0,9
2012-02-02 10:30:00,region-1,1495,5.5672240802675585,0,9
2012-02-02 10:45:00,region-1,1498,5.5146862483311081,0,9
2012-02-02 11:00:00,region-1,1500,5.5680000000000000,0,9
2012-02-02 11:15:00,region-1,1499,5.5350233488992662,0,9
2012-02-02 11:30:00,region-1,1500,5.4686666666666667,0,9
2012-02-02 11:45:00,region-1,1498,5.4526034712950601,0,9
2012-02-02 12:00:00,region-1,1498,5.5166889185580774,0,9
2012-02-02 12:15:00,region-1,1497,5.4094856379425518,0,9
2012-02-02 12:30:00,region-1,1498,5.5120160213618158,0,9
2012-02-02 12:45:00,region-1,1500,5.5080000000000000,0,9
2012-02-02 13:00:00,region-1,1499,5.4756504336224149,0,9
2012-02-02 13:15:00,region-1,1494,5.5307898259705489,0,9
2012-02-02 13:30:00,region-1,1495,5.4448160535117057,0,9
2012-02-02 13:45:00,region-1,1493,5.4474212993971869,0,9
2012-02-02 14:00:00,region-1,1494,5.3808567603748327,0,9
2012-02-02 14:15:00,region-1,1498,5.4158878504672897,0,9
2012-02-02 14:30:00,region-1,1495,5.4046822742474916,0,9
2012-02-02 14:45:00,region-1,1499,5.5290193462308205,0,9
2012-02-02 15:00:00,region-1,1902,16.8296529968454259,0,9
2012-02-02 15:15:00,region-1,1901,16.4124145186743819,0,9
2012-02-02 15:30:00,region-1,1903,17.1502890173410405,0,9
2012-02-02 15:45:00,region-1,1904,17.2410714285714286,0,9
2012-02-02 16:00:00,region-1,2540,27.3429133858267717,2549,9
2012-02-02 16:15:00,region-1,2537,27.7930626724477730,2549,9
2012-02-02 16:30:00,region-1,2532,27.4269352290679305,2549,9
2012-02-02 16:45:00,region-1,2527,27.2572220023743569,2549,9
2012-02-02 17:00:00,region-1,2533,27.5763916304776944,2549,9
2012-02-02 17:15:00,region-1,2536,27.2768138801261830,2549,9
2012-02-02 17:30:00,region-1,2535,27.6808678500986193,2549,9
2012-02-02 17:45:00,region-1,2536,27.3820977917981073,2549,9
2012-02-02 18:00:00,region-1,2535,27.7550295857988166,2549,9
2012-02-02 18:15:00,region-1,2534,27.7170481452249408,2549,9
2012-02-02 18:30:00,region-1,2535,27.7936883629191321,2549,9
2012-02-02 18:45:00,region-1,2535,27.8859960552268245,2549,9
2012-02-02 19:00:00,region-1,2537,27.9318092234923138,2549,9
2012-02-02 19:15:00,region-1,2535,27.9278106508875740,2549,9
2012-02-02 19:30:00,region-1,2541,27.3726879181424636,2549,9
2012-02-02 19:45:00,region-1,2542,27.7675059008654603,2549,9
2012-02-02 20:00:00,region-1,2540,27.5598425196850394,2549,9
2012-02-02 20:15:00,region-1,2537,27.3689396925502562,2549,9
2012-02-02 20:30:00,region-1,2539,27.4233950374163056,2549,9
2012-02-02 20:45:00,region-1,2540,27.5799212598425197,2549,9
2012-02-02 21:00:00,region-1,2543,28.1502162799842705,2549,9
2012-02-02 21:15:00,region-1,2542,27.4984264358772620,2549,9
