healthtime,businessunit,lag,teller_reported,teller_avg_conn,loan_reported,loan_avg_conn,office_reported,office_avg_conn
2012-02-02 08:15:00,region-1,9,1505,5.4418604651162791,1554,5.4974259974259974,3427,5.5625911876276627
2012-02-02 08:30:00,region-1,9,1503,5.4278110445775116,1550,5.3574193548387097,3424,5.4331191588785047
2012-02-02 08:45:00,region-1,9,1500,5.4713333333333333,1548,5.3533591731266150,3422,5.4985388661601403
2012-02-02 09:00:00,region-1,9,1501,5.5436375749500333,1548,5.5910852713178295,3420,5.5175438596491228
2012-02-02 09:15:00,region-1,9,1500,5.4806666666666667,1547,5.4065934065934066,3414,5.4680726420620972
2012-02-02 09:30:00,region-1,9,1501,5.4470353097934710,1545,5.5365695792880259,3413,5.4353940814532669
2012-02-02 09:45:00,region-1,9,1499,5.4543028685790527,1547,5.4421460892049127,3409,5.4256380170137870
2012-02-02 10:00:00,region-1,9,1498,5.3938584779706275,1549,5.4338282763072950,3411,5.5998240985048373
2012-02-02 10:15:00,region-1,9,1495,5.4615384615384615,1551,5.4635718891038040,3414,5.4920913884007030
2012-02-02 10:30:00,region-1,9,1495,5.5672240802675585,1553,5.4610431423052157,3417,5.4770266315481416
2012-02-02 10:45:00,region-1,9,1498,5.5146862483311081,1549,5.5164622336991607,3417,5.5378987415861867
2012-02-02 11:00:00,region-1,9,1500,5.5680000000000000,1550,5.4767741935483871,3418,5.5825043885313049
2012-02-02 11:15:00,region-1,9,1499,5.5350233488992662,1546,5.5278137128072445,3418,5.5093622001170275
2012-02-02 11:30:00,region-1,9,1500,5.4686666666666667,1545,5.4783171521035599,3414,5.5638547158758055
2012-02-02 11:45:00,region-1,9,1498,5.4526034712950601,1548,5.4683462532299742,3411,5.4851949574904720
2012-02-02 12:00:00,region-1,9,1498,5.5166889185580774,1548,5.5794573643410853,3405,5.4610866372980910
2012-02-02 12:15:00,region-1,9,1497,5.4094856379425518,1548,5.5852713178294574,3407,5.4534781332550631
2012-02-02 12:30:00,region-1,9,1498,5.5120160213618158,1547,5.4861021331609567,3415,5.5013177159590044
2012-02-02 12:45:00,region-1,9,1500,5.5080000000000000,1547,5.5423400129282482,3420,5.3988304093567251
2012-02-02 13:00:00,region-1,9,1499,5.4756504336224149,1547,5.5242404654169360,3419,5.5855513307984791
2012-02-02 13:15:00,region-1,9,1494,5.5307898259705489,1547,5.4718810601163542,3416,5.4429156908665105
2012-02-02 13:30:00,region-1,9,1495,5.4448160535117057,1547,5.3884938590820944,3417,5.4577114427860697
2012-02-02 13:45:00,region-1,9,1493,5.4474212993971869,1548,5.5355297157622739,3413,5.5555230002929974
2012-02-02 14:00:00,region-1,9,1494,5.3808567603748327,1552,5.4497422680412371,3411,5.5271181471709176
2012-02-02 14:15:00,region-1,9,1498,5.4158878504672897,1552,5.5599226804123711,3404,5.4800235017626322
