healthtime,businessunit,reported,avgconn,expected,lag
2012-02-02 08:15:00,region-1,1554,5.4974259974259974,0,9
2012-02-02 08:30:00,region-1,1550,5.3574193548387097,0,9
2012-02-02 08:45:00,region-1,1548,5.3533591731266150,0,9
2012-02-02 09:00:00,region-1,1548,5.5910852713178295,0,9
2012-02-02 09:15:00,region-1,1547,5.4065934065934066,0,9
2012-02-02 09:30:00,region-1,1545,5.5365695792880259,0,9
2012-02-02 09:45:00,region-1,1547,5.4421460892049127,0,9
2012-02-02 10:00:00,region-1,1549,5.4338282763072950,0,9
2012-02-02 10:15:00,region-1,1551,5.4635718891038040,0,9
2012-02-02 10:30:00,region-1,1553,5.4610431423052157,0,9
2012-02-02 10:45:00,region-1,1549,5.5164622336991607,0,9
2012-02-02 11:00:00,region-1,1550,5.4767741935483871,0,9
2012-02-02 11:15:00,region-1,1546,5.5278137128072445,0,9
2012-02-02 11:30:00,region-1,1545,5.4783171521035599,0,9
2012-02-02 11:45:00,region-1,1548,5.4683462532299742,0,9
2012-02-02 12:00:00,region-1,1548,5.5794573643410853,0,9
2012-02-02 12:15:00,region-1,1548,5.5852713178294574,0,9
2012-02-02 12:30:00,region-1,1547,5.4861021331609567,0,9
2012-02-02 12:45:00,region-1,1547,5.5423400129282482,0,9
2012-02-02 13:00:00,region-1,1547,5.5242404654169360,0,9
2012-02-02 13:15:00,region-1,1547,5.4718810601163542,0,9
2012-02-02 13:30:00,region-1,1547,5.3884938590820944,0,9
2012-02-02 13:45:00,region-1,1548,5.5355297157622739,0,9
2012-02-02 14:00:00,region-1,1552,5.4497422680412371,0,9
2012-02-02 14:15:00,region-1,1552,5.5599226804123711,0,9
2012-02-02 14:30:00,region-1,1548,5.4670542635658915,0,9
2012-02-02 14:45:00,region-1,1550,5.4374193548387097,0,9
2012-02-02 15:00:00,region-1,1930,16.9103626943005181,0,9
2012-02-02 15:15:00,region-1,1931,16.6670119109269808,0,9
2012-02-02 15:30:00,region-1,1931,17.3713102019678923,0,9
2012-02-02 15:45:00,region-1,1929,16.7833074131674443,0,9
2012-02-02 16:00:00,region-1,2539,27.5722725482473415,2549,9
2012-02-02 16:15:00,region-1,2537,27.4418604651162791,2549,9
2012-02-02 16:30:00,region-1,2538,27.4156816390858944,2549,9
2012-02-02 16:45:00,region-1,2538,27.8845547675334909,2549,9
2012-02-02 17:00:00,region-1,2537,27.8052818289318092,2549,9
2012-02-02 17:15:00,region-1,2537,27.5947970043358297,2549,9
2012-02-02 17:30:00,region-1,2530,27.4015810276679842,2549,9
2012-02-02 17:45:00,region-1,2534,27.8804262036306235,2549,9
2012-02-02 18:00:00,region-1,2539,27.6364710515951162,2549,9
2012-02-02 18:15:00,region-1,2536,27.4570189274447950,2549,9
2012-02-02 18:30:00,region-1,2535,27.3905325443786982,2549,9
2012-02-02 18:45:00,region-1,2535,27.9416173570019724,2549,9
2012-02-02 19:00:00,region-1,2538,27.5114263199369582,2549,9
2012-02-02 19:15:00,region-1,2543,27.1844278411325206,2549,9
2012-02-02 19:30:00,region-1,2542,27.4925255704169945,2549,9
2012-02-02 19:45:00,region-1,2542,27.0668764752163651,2549,9
2012-02-02 20:00:00,region-1,2542,27.4138473642800944,2549,9
2012-02-02 20:15:00,region-1,2542,27.7816679779701023,2549,9
2012-02-02 20:30:00,region-1,2539,27.4631744781410004,2549,9
2012-02-02 20:45:00,region-1,2539,27.1130366285939346,2549,9
2012-02-02 21:00:00,region-1,2540,27.6578740157480315,2549,9
2012-02-02 21:15:00,region-1,2539,27.3599842457660496,2549,9
2012-02-02 21:30:00,region-1,2543,27.1856075501376327,2549,9
2012-02-02 21:45:00,region-1,2540,27.9066929133858268,2549,9
2012-02-02 22:00:00,region-1,2540,26.9244094488188976,2549,9
2012-02-02 22:15:00,region-1,2539,27.8322174084285152,2549,9
2012-02-02 22:30:00,region-1,2541,27.5828414010232192,2549,9
2012-02-02 22:45:00,region-1,2543,27.3476209201730240,2549,9
2012-02-02 23:00:00,region-1,2540,27.4834645669291339,2549,9
2012-02-02 23:15:00,region-1,2544,27.2790880503144654,2549,9
2012-02-02 23:30:00,region-1,2541,27.3577331759149941,2549,9
2012-02-02 23:45:00,region-1,2536,27.2452681388012618,2549,9
2012-02-03 00:00:00,region-1,2538,27.8226950354609929,2549,9
2012-02-03 00:15:00,region-1,2537,27.7607410327158061,2549,9
2012-02-03 00:30:00,region-1,2536,27.6230283911671924,2549,9
2012-02-03 00:45:00,region-1,2536,27.7728706624605678,2549,9
2012-02-03 01:00:00,region-1,2538,27.1883372734436564,2549,9
2012-02-03 01:15:00,region-1,2542,27.3505114083398899,2549,9
2012-02-03 01:30:00,region-1,2536,27.8481861198738170,2549,9
2012-02-03 01:45:00,region-1,2533,27.6229767074615081,2549,9
2012-02-03 02:00:00,region-1,2149,21.4578873894834807,2549,9
2012-02-03 02:15:00,region-1,2150,21.1800000000000000,2549,9
2012-02-03 02:30:00,region-1,2160,21.3592592592592593,2549,9
2012-02-03 02:45:00,region-1,2157,21.0644413537320352,2549,9
2012-02-03 03:00:00,region-1,1549,5.4990316333118141,2549,9
2012-02-03 03:15:00,region-1,1546,5.5737386804657180,0,9
2012-02-03 03:30:00,region-1,1550,5.5270967741935484,0,9
2012-02-03 03:45:00,region-1,1546,5.3706338939197930,0,9
2012-02-03 04:00:00,region-1,1547,5.4906270200387847,0,9
2012-02-03 04:15:00,region-1,1551,5.6202450032237266,0,9
2012-02-03 04:30:00,region-1,1548,5.4605943152454780,0,9
2012-02-03 04:45:00,region-1,1548,5.4916020671834625,0,9
2012-02-03 05:00:00,region-1,1549,5.6178179470626210,0,9
2012-02-03 05:15:00,region-1,1552,5.3421391752577320,0,9
2012-02-03 05:30:00,region-1,1548,5.6427648578811370,0,9
2012-02-03 05:45:00,region-1,1548,5.5025839793281654,0,9
2012-02-03 06:00:00,region-1,1551,5.4558349451966473,0,9
2012-02-03 06:15:00,region-1,1550,5.4445161290322581,0,9
2012-02-03 06:30:00,region-1,1552,5.4452319587628866,0,9
